flood_weighted_m3,cost_eur,neg_cobenefit
2.233466409446879425e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.761256559912071396e+01,2.141352437200509757e+07,-3.961888269179040071e+04
4.903935809000540758e+01,1.697548619321503863e+07,-3.191624381447646374e+04
1.989249023902975978e+03,1.199870621678646887e+06,-2.721175505632281329e+03
5.927750301875688592e+02,7.942581698797321878e+06,-1.725279140681374338e+04
6.142004502287060319e+01,1.759222643350626901e+07,-3.304744566203861905e+04
3.986089946729719600e+02,1.251510393567842431e+07,-2.504250789360427007e+04
2.056754512245790920e+03,6.323871523722818820e+05,-1.667268659260929780e+03
1.120263235572699159e+03,2.576031204791606870e+06,-5.975365471481443819e+03
7.575990447830687344e+02,8.931436820392135531e+06,-1.851867810981555886e+04
5.944866896036573962e+02,1.327224924859068729e+07,-2.603550133927692150e+04
3.433187086716004615e+02,1.588024117853594571e+07,-3.060135605448597926e+04
5.684462142414812433e+02,7.908959352797912434e+06,-1.592815293191646379e+04
2.121293992306159907e+03,4.581417672307485482e+05,-8.395196190739677604e+02
1.802567794471410139e+02,1.801206356445968151e+07,-3.439216034476166533e+04
1.873402135589509271e+03,6.121765334766207961e+05,-8.592325414312898602e+02
4.605315368628510555e+02,1.402225641631522588e+07,-2.639676126676322747e+04
1.780370360883263629e+03,1.984166586883192183e+06,-4.879504865818339567e+03
2.247106668008106851e+02,1.933000319614117593e+07,-3.663935370254410373e+04
1.846028330682186379e+03,1.608375561578080989e+06,-4.278430177179367092e+03
4.902185927619972290e+02,1.338654269879943505e+07,-2.521018065252269662e+04
7.424557430262938169e+02,6.976988724303990602e+06,-1.378370620101246823e+04
2.198408989510235642e+03,2.209584753895564645e+05,-4.456417423335414583e+02
1.419300435700214109e+02,2.044322374610851705e+07,-3.771851125718635012e+04
5.393841203379182616e+02,9.946128138233263046e+06,-2.009242350668957442e+04
1.424954494384925511e+03,1.709194083914129063e+06,-3.071888250175085886e+03
3.563861176559093451e+02,1.520597262155827321e+07,-2.991978559555258107e+04
3.283554404806675961e+02,1.649423565392232314e+07,-3.079558006080930136e+04
8.417878550090756562e+02,4.686529199629677460e+06,-1.005367885137372650e+04
1.230033402818573904e+03,5.693273966309409589e+06,-1.233771928218421817e+04
6.463053107696047164e+02,1.157135983623122424e+07,-2.289980137436590303e+04
3.705815716103990098e+02,1.416069313113785721e+07,-2.787369361459737047e+04
8.633945997355408508e+02,6.740649912843836471e+06,-1.447152530014993681e+04
3.822366309733890830e+02,1.496450675779543258e+07,-2.929666808700357069e+04
1.513186578029178236e+03,2.931644077402999159e+06,-7.438184441458824949e+03
1.045241015004094379e+03,6.317021474143839441e+06,-1.329237548101110042e+04
1.146701480615968478e+02,2.061942233483821526e+07,-3.835163743698895269e+04
3.580206265010442621e+02,1.181810258880781755e+07,-2.373116738521982188e+04
2.886631236662717015e+02,1.984302717926519737e+07,-3.715070363470391021e+04
6.401559948174568149e+01,2.112465559296648204e+07,-3.856074506511264917e+04
6.857675591234722106e+02,9.558819249854119495e+06,-1.874082372411355755e+04
1.685905246694935613e+03,1.856661724021888105e+06,-4.632775240221199965e+03
2.400609647481678621e+02,1.450444672269959375e+07,-2.875589171233418165e+04
1.817431078765155007e+03,8.505378500397779280e+05,-1.582278595970787819e+03
2.154263044727580620e+02,1.841423914408759773e+07,-3.568035614497129427e+04
1.082125372875759240e+03,4.075509333502867725e+06,-9.075845636012520117e+03
3.138105277875998809e+02,1.105560106376560405e+07,-2.167838264261230870e+04
8.706740827163839640e+02,1.067915460984020680e+07,-2.130464967386581338e+04
4.739350082301261295e+02,1.108025188412432931e+07,-2.263556268173532590e+04
8.312631278581729930e+02,4.845559757097146474e+06,-1.055659250523570699e+04
6.743704183745420551e+02,7.401986459453620017e+06,-1.525591232582999146e+04
1.317348378848366565e+03,3.976578870390911121e+06,-9.628135254195993184e+03
9.248677675784928454e+01,2.006044258458999917e+07,-3.704684305970884452e+04
1.686354791618580578e+02,1.878155923354648799e+07,-3.549625144644183456e+04
1.006809565716221755e+03,5.165453091874408536e+06,-1.139774910213600197e+04
1.268795201844602616e+03,3.726336295396057423e+06,-8.402549633812497632e+03
1.097817619034020140e+02,1.841754473464615643e+07,-3.486981482408462034e+04
7.798705131644923085e+02,9.790300440335039049e+06,-2.068259412391092701e+04
1.184104036761104453e+03,3.858209576184911188e+06,-9.041463463196598241e+03
1.592128487629115853e+03,3.031567941161813680e+06,-7.599286506563619696e+03
2.233466409446879425e+03,0.000000000000000000e+00,0.000000000000000000e+00
